Team,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,WAR,ERA-,FIP-,xFIP-,K/9+,BB/9+,K/BB+,HR/9+,AVG+_1,WHIP+,BABIP+_1,LOB%+,K%+_1,BB%+_1,LD%+,WonWS
ATL,104.15235859839300,100.40422475290900,131.97937898453000,94.0648481052019,106.29285330250100,95.99688905645200,88.3466590523179,101.47113508889400,104.1497240517450,5.0307741210669,94.2187942800368,98.0487785588795,98.2337019219198,99.2862106611835,104.909425131604,93.6244838417464,86.0031536199305,95.8302579358393,96.828845924333,96.7503417542418,100.605498985527,100.822862125808,106.533109450064,92.1479028358869,0
NYM,96.17684058378420,97.70205555056680,97.0076811375425,96.89322135983060,97.59261999518690,96.56496498848060,94.59120920162690,97.25917119178530,88.78678626795850,5.40525257518603,96.3996651877295,104.176682495465,107.023600858458,98.2549622997425,121.201361113035,80.8935754897264,88.4475133677334,100.185858777421,105.456813099963,100.813070188994,105.911782509104,97.2004838750407,119.900623187141,99.7306344409262,0
HOU,69.25806612921220,90.5368670914737,71.39360093689580,89.03016961090710,86.8819645421854,82.73651662588180,69.19670952142230,89.60849964551430,88.9155298676263,5.76767685847042,117.979901029693,97.6748363399235,101.490786243154,100.564568829407,108.707045911909,92.5097060551703,89.3758218146149,108.87840698054,110.457565330006,110.474180905571,93.7238133638122,98.0605331066664,106.000266476736,107.126435082739,0
CIN,112.70085351310000,106.2498534964220,98.80411970734530,102.58956936223400,104.19731461875800,109.92656609812400,116.30858439655600,105.65705149214800,107.49796020570900,4.28651679171136,112.967861031405,103.009563938182,106.83351234915,92.5482455146194,107.743832422982,85.8965596927897,102.286446388566,107.427768197144,108.698085179016,105.657864018653,98.9707479529086,90.6219170622595,105.501220484407,110.160924186436,0
COL,88.18366955622370,99.09404933693230,108.92923413703400,104.55048297200300,100.62121487211100,101.18230506129300,104.80708830883500,100.01628508257000,104.89651014374000,9.50097258631117,80.7639648560118,87.1117247283885,99.6598330151493,96.6291153287206,102.655628679765,94.1293881086189,70.9088224236289,96.3229392188654,96.4221066426836,97.905200930189,100.324584109269,98.3768290198489,104.512344917862,97.7356535077542,0
LAD,103.85060273495000,102.76240798684200,100.43823368855600,96.63425681200680,101.40104684010000,99.63306022234050,94.20115491487630,103.84654735827000,115.44055511525200,6.71085666100404,104.738015756147,97.6739204636133,99.8896146268781,104.820635508734,108.329974270882,96.7605097409563,84.9627973913361,96.5018877573007,99.3761247827088,98.7804843939122,96.8603712862131,104.375196269177,107.869624228306,96.1778834043891,0
CHW,92.79768417305450,93.75004448344630,106.24622624532200,76.38211458350240,98.2486614102281,98.76733134350940,107.63481683991500,86.20988820376340,90.9142984055718,8.49896442161549,106.064805579585,88.8998503491202,95.080232818852,111.480435738176,103.786435994276,107.41330491536,91.1496879284603,102.201258039918,103.598970936513,106.027333086965,96.0030680208221,109.929677028211,102.342694791481,104.509865702572,0
CLE,94.92195380037610,94.88333324488340,112.3620530442350,112.4382682159200,99.14023144069800,91.93240275699700,86.71698296899490,99.98554381696340,102.88722077186400,2.16917472385476,115.146282363768,113.713406487857,111.214279804981,79.1663151255473,123.112760008791,64.3039103445124,91.8605061711083,108.186289219272,113.096305659927,104.299610641776,96.8855126212265,76.6097762886388,119.137034859595,101.97066224441,0
KCR,103.54761745301400,107.49121977542300,88.1958897872836,78.2428609740255,102.6192504576070,101.45286592471600,90.780782608879,104.22526966588300,99.5251700753785,3.0381007657501,117.567269821146,110.172571586909,106.7040185382,96.9550915732214,111.267330161283,87.1370742581163,113.673970711458,105.466965585946,108.980599578233,103.778691387738,96.4069637236628,93.8536449031756,107.708045826177,107.750174316524,0
TEX,98.24058123471890,105.72068003110700,94.16576926715340,101.1212610156570,102.88622941501600,102.89032057516200,97.88799727996270,106.6927145670330,107.85189704763200,5.93600331179058,91.9815689079354,103.2931844771,104.557837234043,108.051496053239,121.321145962478,89.0623808782566,112.484835537794,94.7333061074009,100.708813697873,95.1330798620077,102.520086361119,107.388771835651,120.577021473438,96.7114934181476,0
ARI,98.00918298595260,95.97039359923340,112.31857857979400,131.12134588976900,99.28683096797680,104.07199620415400,118.13471517960100,102.75791579138100,96.33795759794410,0.124586399019383,128.008613272203,120.452254023669,106.00099703606,97.3692820446505,106.352743105735,91.5531457012715,158.812919270418,110.750771832697,112.716646040772,105.871952397974,93.9873767121253,93.6526782897458,102.293241204491,109.509631255229,0
